hs_class,text
positive,- di saat semua cowok berusaha melacak perhatian gue. kamu lantas remehkan perhatian yang gue kasih khusus ke elo. basic kamu cowok bego ! ! !'
negative,siapa yang telat memberi tau elu?edan sarap gue bergaul dengan ciga ifla calis sama siapa itu licew juga'
negative,"41. Kadang aku berfikir, kenapa aku tetap percaya pada Tuhan padahal aku selalu jatuh berkali-kali. Kadang aku merasa Tuhan itu meninggalkan aku sendirian. Ketika orang tuaku berencana berpisah, ketika kakakku lebih memilih jadi Kristen. Ketika aku anak ter"
negative,AKU ITU AKU nKU TAU MATAMU SIPIT TAPI DILIAT DARI MANA ITU AKU'
positive,Kaum cebong kafir sudah kelihatan dongoknya dari awal tambah dungu lagi hahahah'
positive,Ya bani taplak dan kawan kawan '
negative,deklarasi pilihan kepala daerah 2018 aman dan anti hoaks warga dukuh sari jabon
negative,Gue baru saja selesai re-watch Aldnoah Zero!!! paling kampret memang endingnya! 2 karakter utama cowoknya kena friendzone bray! XD URL
negative,"Nah admin belanja satu lagi po terbaik nak makan Ais Kepal Milo, Ais Kepal Horlicks atau Cendol Toping kau kaw. ð??­ Doket mana itu ? Gerai Rojak Me uaku - Taipan 2 (depan TWINS BABY &amp ROMANTIKA / Bank Islam Senawang) ð???"
negative,Enak lagi kalau sambil ngewe'
positive,"Setidaknya gue punya jari tengah buat lu, sebelum gue ukur nyali sama bacot kamu '"
positive,BANCI KALENG MALU GA BISA JAWAB PE ANYAAN KAMI DARI 2 HARI LALU.... NYUNGSEP KOE URL
negative,Kalo belajar ekonomi mestinya jago memprivatisasi hati orang. Duh.. ironi 
positive,Aktor huru hara 98 Prabowo S ingin lengserkan pemerintahan Jokowi.... Nyata
positive,Bu guru enakan jadi jablay atau guru sekolah dasar sih. nKayaknya menikmati jadi pecun ini guru.'
positive,"Lawan bicara gue tidak intelek kayak loe, yang otak tidak punya. Ttg kencing onta, gue mengakui hadis nabi dan itu sahih. Kafir kayak kamu pasti menolak, makanya kamu ahlunnar.'"
negative,Belakangan ini kok pikiran ampas banget ya'
negative,Ari sama beki adalah rapi monyet '
positive,Jadi cowok itu harus Gantle kalau tidak Gantle itu namanya BANCI !'
negative,Slga mnr bom '
negative,"Asw ya tapi gue jarang ngambek, takut wkwk gue kan bucin.'"
negative,kalau kamu noob pasti peluang disakiti nya lebih gede si'
negative,"Joko Widodo dinilai sebagai presiden terlemah dalam sejarah Indonesia. Hal ini terjadi bukan saja karena Jokowi tidak memiliki modal dukungan politik yang cukup, melainkan juga karena ketidakmampuan pemerintahannya menghadapi situasi ekonomi tidak"
negative,PELAJAR SMA KEC BILAH HILIR DEKLARASI ANTI HOAX &amp PILKADA 2018 DAMAI
negative,Bandara Udara Internasional Ke ajati dibangun oleh Gubernur Ahmad Heryawan tanpa gunakan APBN pemerintah pusat. Insya Allah siap beroperasi bulan depan 
negative,"Siapapun gubernur dan presidennya, rakyatnya, ya kitaÂ² juga..."
